 
                                                                                                                                                                                                                                                                
 
Obs    Region    Product           Subsidiary     Stores           Sales       Inventory         Returns

  1    Africa    Boot              Addis Ababa      12           $29,761        $191,821            $769
  2    Africa    Men's Casual      Addis Ababa       4           $67,242        $118,036          $2,284
  3    Africa    Men's Dress       Addis Ababa       7           $76,793        $136,273          $2,433
  4    Africa    Sandal            Addis Ababa      10           $62,819        $204,284          $1,861
  5    Africa    Slipper           Addis Ababa      14           $68,641        $279,795          $1,771
  6    Africa    Sport Shoe        Addis Ababa       4            $1,690         $16,634             $79
  7    Africa    Women's Casual    Addis Ababa       2           $51,541         $98,641            $940
  8    Africa    Women's Dress     Addis Ababa      12          $108,942        $311,017          $3,233
  9    Africa    Boot              Algiers          21           $21,297         $73,737            $710
 10    Africa    Men's Casual      Algiers           4           $63,206        $100,982          $2,221
